City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,salto del guaira,-24.0625,-54.3069,23.55,40,54,2.96,PY,1722990442
504,cole harbour,44.6724,-63.4751,17.66,94,75,3.6,CA,1722990644
505,tyukhtet,56.5389,89.3011,14.5,99,100,2.01,RU,1722990645
506,moeiwadi,16.3894,104.1572,27.33,81,100,1.64,TH,1722990646
507,zaozersk,69.4005,32.4476,11.92,54,58,2.44,RU,1722990647
508,kisangani,0.5167,25.2,22.58,81,100,1.15,CD,1722990648
509,opuwo,-18.0607,13.84,16.08,36,0,1.37,NA,1722990649
510,forster,-32.1667,152.5167,16.83,70,89,1.05,AU,1722990650
511,antsiranana,-12.2787,49.2917,21.35,82,11,6.09,MG,1722990652
512,pahrump,36.2083,-115.9839,43.03,11,0,1.79,US,1722990653
513,sidney,-33.8679,151.2073,15.19,57,0,4.12,AU,1722990654
514,iguape,-24.7081,-47.5553,18.39,94,4,1.58,BR,1722990655
515,as suwayq,23.8494,57.4386,30.43,73,100,3.12,OM,1722990656
516,thunder bay,48.4001,-89.3168,22.95,40,20,3.6,CA,1722990513
517,colares,38.7992,-9.4469,21.82,84,17,8.04,PT,1722990658
